"Intercept" "Trt O" "Trt T" "Race 3"
0.798868264133466 0.011413003959053 -0.0130369299484119 -0.127228842969935
0.826483368893401 0.0370194619411768 0.0152772973017653 -0.0687604078907419
0.851496205294266 0.0520858464555624 0.0386595191435451 -0.0315644733001936
0.946554078861149 0.0338094514547703 0.0235161941216055 -0.0424551418460365
0.981549964554455 0.0740362353727329 0.0615041908808023 -0.0113310990027763
0.777289806298817 -0.0135652993694482 -0.0412920700510202 -0.126298998193421
0.823516528234188 0.0145148679159675 -0.01079454965493 -0.0573305150026234
0.879962185763628 0.0187566359924233 0.0181598962801896 -0.0256465881672251
0.98642468059165 0.00485311304996322 -0.00113322686056048 -0.0371745725696423
1.0221048401449 0.0453791731651648 0.0392915032618174 0.00470459879207966
